ID,TMEM132A,CD6,CYBA,DGAT2,CHI3L2,PKM,SEMA3C,JAK3,CCL2,CD5,MYO1G,FKBP10,UCHL1,SLFN13,MS4A1,PTGER1,HACD1,RHOH,KRT19,SPHK1,FZD2,SOCS3,MROH2A,PDIA2,VEPH1,CARD11,UGT1A3,BATF3,NLR
TCGA-FV-A3R2,0.001957726,0.018657433,0.007746293,0.146325325,0.001263961,0.021890441,0,0.012802762,0.019664356,0.016831573,0.028806753,0.007749771,4.70E-05,0.002763625,0.000206402,0,0.002234002,0.008084542,5.01E-05,0.118376101,0.00808873,0.060293873,0.002031464,0,0.053084573,0.028828525,0.110802656,0.029747241,0.125807888
TCGA-FV-A3R3,0.012711255,0.034754266,0.178367077,0.016780233,0.007533113,0.01741837,0.097733343,0.029099868,0.00882516,0.034526629,0.053228246,0.05664665,0.005898815,0.006382659,0.000175905,0.039226058,0.01523768,0.019243073,0.020560246,0.014710618,0.025370568,0.023552877,0.000550444,0.003514341,0.001543156,0.045074234,0.026607022,0.033757832,0.054799539
TCGA-FV-A495,0.027520909,0.073640594,0.083346115,0.06944735,0.010956627,0.01430314,0.016066322,0.080092303,0.023842272,0.027786959,0.110767047,0.050613843,0.001589173,0.06738922,0.00585332,0.150527884,0.019019398,0.030913936,0.024636341,0.030765137,0.034902753,0.008201366,0.00203322,0.002317655,0.007809581,0.039331111,0.000503846,0.106060018,0.066949632
TCGA-FV-A496,0.001762208,0.002498265,0.000629678,0.079798786,0.00068148,0.009300144,0.000945425,0.006391838,0.001441244,0.001054174,0.005289207,0.026900487,0.000192417,0.000647039,0,0.143946427,0.134222407,0.002706287,0,0.006667118,0.000773222,0.004592604,0.106758963,0.552820628,0.000450844,0.002246727,0.008146499,0.008011484,0.089723989
TCGA-FV-A4ZP,0.018664673,0.053385453,0.054204517,0.033255312,0.047190163,0.073505074,0.000289537,0.087714276,0.00460869,0.00790728,0.065689259,0.189892238,0.000563026,0.00294066,0,0.031964505,0.055985874,0.022206751,0.000944078,1,0.013784908,0.004211482,0.000183481,0.00480849,0.003316273,0.013019149,0.003497284,0.13892553,0.073509515
TCGA-FV-A4ZQ,0.076411759,0.172355702,0.070616539,0.030314766,0.12484661,0.023802663,0.005988679,0.19316573,0.015454791,0.10679717,0.221164298,0.104329857,0.001362261,0.016027147,0.01023514,0.007873279,0.032112436,0.100041918,0.003032522,0.020001704,0.01375005,0.022081134,0.00028444,0.000816764,0.000714088,0.085327766,0.014984974,0.060920254,0.01488953
TCGA-G3-A25S,0.000394592,0.010508134,0.020419075,0.035751498,0.004445734,0.00353876,0.002053346,0.011501492,0.002824944,0.00631624,0.019378817,0.002712466,2.01E-05,0.004637376,0.000242345,0,0.002459189,0.012599923,4.41E-05,0.001065551,0.003086552,0.008653085,0.000812059,0.00528507,0.000857813,0.01543237,0.002659517,0.033932416,0.105601887
TCGA-G3-A25T,1,0.018268668,0.643524253,0.006310386,0.000336135,0.35696521,0.046952185,0.157495315,0.021322886,0.011296673,0.034144519,0.057015346,0.005921864,0.171539045,0.000110008,0.060183086,0.306404973,0.014842905,1,0.049012226,0.027252921,0.042089734,0.002882151,0.001621446,0.197051967,0.026350237,0.004030768,0.217309073,0.043000158
TCGA-G3-A25U,0.001528093,0.002946083,0.002262596,0.129132776,0.001867162,5.14E-05,0.001294051,0.006443889,0.002045685,0.003194791,0.008105635,0.002984659,3.97E-05,0.002793392,0.000182984,0.005447964,0.001486952,0.002193955,0.000385296,0.001245414,0.001096455,0.016727893,0.143541279,0.000642242,0,0.005396737,0.125147449,0.018084033,0.02752811
TCGA-G3-A25V,0.009077147,0.06505496,0.027901414,0.09870936,0.055653403,0.010043491,0.023505637,0.072950933,0.122480197,0.054779865,0.075094784,0.030220135,0.001254568,0.011167303,0.003252328,0.047016574,0.013697112,0.027599715,0.00286499,0.046155039,0.015011289,0.225596593,0.028285985,0.000316825,0.003414611,0.033888444,0.020720915,0.055648775,0.061030393
